"","Time","Force 1","Force 2","Angle","Velocity","Acceleration","Force1","Force2","Ratio","Torque","Length","Spin","Mass","V_bin"
"3607","1.98","7.85256410256","-5.73171859434","1.01229096616",0.53329504922,"1.01002850231",7.85256410256,-5.73171859434,-1.37001912660442,1.0059330575538,"30cm","spin","100g",0.5
"3608","2","7.88247863248","-5.79269395905","1.02974425868",0.678739153553,"-0.942693268824",7.88247863248,-5.79269395905,-1.36076214075924,1.0085909761005,"30cm","spin","100g",0.7
"3609","2.02","8.09188034188","-6.12805846497","1.0471975512",0.509054365165,"-3.26575882414",8.09188034188,-6.12805846497,-1.32046395903953,1.0299402973329,"30cm","spin","100g",0.5
"3610","2.04","8.03205128205","-6.2500091944","1.0471975512",0.460572997054,"-2.05372462137",8.03205128205,-6.2500091944,-1.28512631457354,1.0173074164755,"30cm","spin","100g",0.5
"3611","2.06","8.09188034188","-6.31098455911","1.06465084372",0.436332312999,"-0.942693268824",8.09188034188,-6.31098455911,-1.28218984947432,1.0244525145087,"30cm","spin","100g",0.4
"3612","2.08","8.00213675214","-6.28049687676","1.06465084372",0.436332312999,"-0.202005700462",8.00213675214,-6.28049687676,-1.27412478808017,1.0119056065182,"30cm","spin","100g",0.4
"3613","2.1","8.00213675214","-6.18903382969","1.08210413624",0.436332312999,"-0.0673352334874",8.00213675214,-6.18903382969,-1.29295411405771,1.0146494979303,"30cm","spin","100g",0.4
"3614","2.12","7.91239316239","-6.00610773555","1.08210413624",0.436332312999,"-0.202005700462",7.91239316239,-6.00610773555,-1.31739114760742,1.006675742292,"30cm","spin","100g",0.4
"3615","2.14","7.79273504274","-5.79269395905","1.09955742876",0.436332312999,"-0.942693268824",7.79273504274,-5.79269395905,-1.34526959266773,0.9951294376395,"30cm","spin","100g",0.4
"3616","2.16","7.70299145299","-5.57928018256","1.09955742876",0.412091628943,"-2.05372462137",7.70299145299,-5.57928018256,-1.38064252035028,0.9880703124717,"30cm","spin","100g",0.4
"3617","2.18","7.73290598291","-5.5487925002","1.11701072128",0.363610260832,"-3.26575882414",7.73290598291,-5.5487925002,-1.39361959969332,0.9934721224305,"30cm","spin","100g",0.4
"3618","2.2","7.85256410256","-5.57928018256","1.11701072128",0.193925472444,"-0.942693268824",7.85256410256,-5.57928018256,-1.40745111297797,1.0105062099072,"30cm","spin","100g",0.2
"3619","2.22","8.00213675214","-5.70123091198","1.11701072128",0.339369576777,"1.01002850231",8.00213675214,-5.70123091198,-1.40358053825273,1.0292835854616,"30cm","spin","100g",0.3
"3620","2.24","8.12179487179","-5.88415700612","1.1344640138",0.339369576777,"-1.27936943626",8.12179487179,-5.88415700612,-1.38028180814052,1.0417445205849,"30cm","spin","100g",0.3
"3621","2.26","8.30128205128","-6.09757078262","1.1344640138",0.193925472444,"-0.235673317206",8.30128205128,-6.09757078262,-1.36140806678969,1.0622651842134,"30cm","spin","100g",0.2
"3622","2.28","8.36111111111","-6.2500091944","1.1344640138",0.339369576777,"0.101002850231",8.36111111111,-6.2500091944,-1.33777580977026,1.0666663908345,"30cm","spin","100g",0.3
"3623","2.3","8.30128205128","-6.34147224147","1.15191730632",0.315128892721,"-3.97277877576",8.30128205128,-6.34147224147,-1.30904650137768,1.0549481404479,"30cm","spin","100g",0.3
"3624","2.32","8.24145299145","-6.37195992382","1.15191730632",0.0969627362219,"-4.17478447622",8.24145299145,-6.37195992382,-1.29339372657404,1.0450591510029,"30cm","spin","100g",0.1
"3625","2.34","8.24145299145","-6.43293528854","1.15191730632",0.048481368111,"-0.0336676167437",8.24145299145,-6.43293528854,-1.28113413578585,1.0432298900613,"30cm","spin","100g",0
"3626","2.36","8.21153846154","-6.37195992382","1.15191730632",0.0969627362219,"3.93911115901",8.21153846154,-6.37195992382,-1.2886990125037,1.0405719715164,"30cm","spin","100g",0.1
"3627","2.38","8.09188034188","-6.31098455911","1.15191730632",0.315128892721,"2.82807980647",8.09188034188,-6.31098455911,-1.28218984947432,1.0244525145087,"30cm","spin","100g",0.3
"3628","2.4","8.00213675214","-6.18903382969","1.16937059884",0.315128892721,"-3.09742074042",8.00213675214,-6.18903382969,-1.29295411405771,1.0146494979303,"30cm","spin","100g",0.3
"3629","2.42","8.00213675214","-6.21952151204","1.16937059884",0.0969627362219,"-5.0838101283",8.00213675214,-6.21952151204,-1.28661613866101,1.0137348674598,"30cm","spin","100g",0.1
"3630","2.44","8.03205128205","-6.21952151204","1.16937059884",0.0242406840555,"-2.96275027345",8.03205128205,-6.21952151204,-1.29142591861789,1.0182220469463,"30cm","spin","100g",0
"3631","2.46","8.00213675214","-6.12805846497","1.16937059884",0,"-1.14469896929",8.00213675214,-6.12805846497,-1.30581925709143,1.0164787588719,"30cm","spin","100g",0
"3632","2.48","7.94230769231","-6.06708310026","1.16937059884",0,"-0.235673317206",7.94230769231,-6.06708310026,-1.30908173846665,1.0093336608387,"30cm","spin","100g",0
"3633","2.5","8.00213675214","-6.06708310026","1.16937059884",0,"-0.0673352334874",8.00213675214,-6.06708310026,-1.31894299450045,1.0183080198132,"30cm","spin","100g",0
"3634","2.52","8.18162393162","-6.09757078262","1.16937059884",0,"-0.235673317206",8.18162393162,-6.09757078262,-1.34178416672754,1.0443164662644,"30cm","spin","100g",0
